car_name,cylinders,displacement,horsepower,weight,accelleration,model_year,origin,mpg
ford ltd,8,351,148,4657,13.5,1975,North America,14
buick century,6,231,110,3907,21,1975,North America,17
chevroelt chevelle malibu,6,250,105,3897,18.5,1975,North America,16
amc matador,6,258,110,3730,19,1975,North America,15
plymouth fury,6,225,95,3785,19,1975,North America,18
buick skyhawk,6,231,110,3039,15,1975,North America,21
chevrolet monza 2+2,8,262,110,3221,13.5,1975,North America,20
ford mustang ii,8,302,129,3169,12,1975,North America,13
toyota corolla,4,97,75,2171,16,1975,Asia,29
ford pinto,4,140,83,2639,17,1975,North America,23
amc gremlin,6,232,100,2914,16,1975,North America,20
pontiac astro,4,140,78,2592,18.5,1975,North America,23
toyota corona,4,134,96,2702,13.5,1975,Asia,24
volkswagen dasher,4,90,71,2223,16.5,1975,Europe,25
datsun 710,4,119,97,2545,17,1975,Asia,24
ford pinto,6,171,97,2984,14.5,1975,North America,18
volkswagen rabbit,4,90,70,1937,14,1975,Europe,29
amc pacer,6,232,90,3211,17,1975,North America,19
audi 100ls,4,115,95,2694,15,1975,Europe,23
peugeot 504,4,120,88,2957,17,1975,Europe,23
volvo 244dl,4,121,98,2945,14.5,1975,Europe,22
saab 99le,4,121,115,2671,13.5,1975,Europe,25
honda civic cvcc,4,91,53,1795,17.5,1975,Asia,33
fiat 131,4,107,86,2464,15.5,1976,Europe,28
opel 1900,4,116,81,2220,16.9,1976,Europe,25
capri ii,4,140,92,2572,14.9,1976,North America,25
dodge colt,4,98,79,2255,17.7,1976,North America,26
renault 12tl,4,101,83,2202,15.3,1976,Europe,27
chevrolet chevelle malibu classic,8,305,140,4215,13,1976,North America,17.5
dodge coronet brougham,8,318,150,4190,13,1976,North America,16
amc matador,8,304,120,3962,13.9,1976,North America,15.5
ford gran torino,8,351,152,4215,12.8,1976,North America,14.5
plymouth valiant,6,225,100,3233,15.4,1976,North America,22
chevrolet nova,6,250,105,3353,14.5,1976,North America,22
ford maverick,6,200,81,3012,17.6,1976,North America,24
amc hornet,6,232,90,3085,17.6,1976,North America,22.5
chevrolet chevette,4,85,52,2035,22.2,1976,North America,29
chevrolet woody,4,98,60,2164,22.1,1976,North America,24.5
vw rabbit,4,90,70,1937,14.2,1976,Europe,29
honda civic,4,91,53,1795,17.4,1976,Asia,33
dodge aspen se,6,225,100,3651,17.7,1976,North America,20
ford granada ghia,6,250,78,3574,21,1976,North America,18
pontiac ventura sj,6,250,110,3645,16.2,1976,North America,18.5
amc pacer d/l,6,258,95,3193,17.8,1976,North America,17.5
volkswagen rabbit,4,97,71,1825,12.2,1976,Europe,29.5
datsun b-210,4,85,70,1990,17,1976,Asia,32
toyota corolla,4,97,75,2155,16.4,1976,Asia,28
ford pinto,4,140,72,2565,13.6,1976,North America,26.5
volvo 245,4,130,102,3150,15.7,1976,Europe,20
plymouth volare premier v8,8,318,150,3940,13.2,1976,North America,13
peugeot 504,4,120,88,3270,21.9,1976,Europe,19
toyota mark ii,6,156,108,2930,15.5,1976,Asia,19
mercedes-benz 280s,6,168,120,3820,16.7,1976,Europe,16.5
cadillac seville,8,350,180,4380,12.1,1976,North America,16.5
chevy c10,8,350,145,4055,12,1976,North America,13
ford f108,8,302,130,3870,15,1976,North America,13
dodge d100,8,318,150,3755,14,1976,North America,13
honda accord cvcc,4,98,68,2045,18.5,1977,Asia,31.5
buick opel isuzu deluxe,4,111,80,2155,14.8,1977,North America,30
renault 5 gtl,4,79,58,1825,18.6,1977,Europe,36
plymouth arrow gs,4,122,96,2300,15.5,1977,North America,25.5
datsun f-10 hatchback,4,85,70,1945,16.8,1977,Asia,33.5
chevrolet caprice classic,8,305,145,3880,12.5,1977,North America,17.5
oldsmobile cutlass supreme,8,260,110,4060,19,1977,North America,17
dodge monaco brougham,8,318,145,4140,13.7,1977,North America,15.5
mercury cougar brougham,8,302,130,4295,14.9,1977,North America,15
chevrolet concours,6,250,110,3520,16.4,1977,North America,17.5
buick skylark,6,231,105,3425,16.9,1977,North America,20.5
plymouth volare custom,6,225,100,3630,17.7,1977,North America,19
ford granada,6,250,98,3525,19,1977,North America,18.5
pontiac grand prix lj,8,400,180,4220,11.1,1977,North America,16
chevrolet monte carlo landau,8,350,170,4165,11.4,1977,North America,15.5
chrysler cordoba,8,400,190,4325,12.2,1977,North America,15.5
ford thunderbird,8,351,149,4335,14.5,1977,North America,16
volkswagen rabbit custom,4,97,78,1940,14.5,1977,Europe,29
pontiac sunbird coupe,4,151,88,2740,16,1977,North America,24.5
toyota corolla liftback,4,97,75,2265,18.2,1977,Asia,26
ford mustang ii 2+2,4,140,89,2755,15.8,1977,North America,25.5
chevrolet chevette,4,98,63,2051,17,1977,North America,30.5
dodge colt m/m,4,98,83,2075,15.9,1977,North America,33.5
subaru dl,4,97,67,1985,16.4,1977,Asia,30
volkswagen dasher,4,97,78,2190,14.1,1977,Europe,30.5
datsun 810,6,146,97,2815,14.5,1977,Asia,22
bmw 320i,4,121,110,2600,12.8,1977,Europe,21.5
mazda rx-4,3,80,110,2720,13.5,1977,Asia,21.5
volkswagen rabbit custom diesel,4,90,48,1985,21.5,1978,Europe,43.1
ford fiesta,4,98,66,1800,14.4,1978,North America,36.1
mazda glc deluxe,4,78,52,1985,19.4,1978,Asia,32.8
datsun b210 gx,4,85,70,2070,18.6,1978,Asia,39.4
honda civic cvcc,4,91,60,1800,16.4,1978,Asia,36.1
oldsmobile cutlass salon brougham,8,260,110,3365,15.5,1978,North America,19.9
dodge diplomat,8,318,140,3735,13.2,1978,North America,19.4
mercury monarch ghia,8,302,139,3570,12.8,1978,North America,20.2
pontiac phoenix lj,6,231,105,3535,19.2,1978,North America,19.2
chevrolet malibu,6,200,95,3155,18.2,1978,North America,20.5
ford fairmont (auto),6,200,85,2965,15.8,1978,North America,20.2
ford fairmont (man),4,140,88,2720,15.4,1978,North America,25.1
plymouth volare,6,225,100,3430,17.2,1978,North America,20.5
amc concord,6,232,90,3210,17.2,1978,North America,19.4
buick century special,6,231,105,3380,15.8,1978,North America,20.6
mercury zephyr,6,200,85,3070,16.7,1978,North America,20.8
dodge aspen,6,225,110,3620,18.7,1978,North America,18.6
amc concord d/l,6,258,120,3410,15.1,1978,North America,18.1
chevrolet monte carlo landau,8,305,145,3425,13.2,1978,North America,19.2
buick regal sport coupe (turbo),6,231,165,3445,13.4,1978,North America,17.7
ford futura,8,302,139,3205,11.2,1978,North America,18.1
dodge magnum xe,8,318,140,4080,13.7,1978,North America,17.5
chevrolet chevette,4,98,68,2155,16.5,1978,North America,30
toyota corona,4,134,95,2560,14.2,1978,Asia,27.5
datsun 510,4,119,97,2300,14.7,1978,Asia,27.2
dodge omni,4,105,75,2230,14.5,1978,North America,30.9
toyota celica gt liftback,4,134,95,2515,14.8,1978,Asia,21.1
plymouth sapporo,4,156,105,2745,16.7,1978,North America,23.2
oldsmobile starfire sx,4,151,85,2855,17.6,1978,North America,23.8
datsun 200-sx,4,119,97,2405,14.9,1978,Asia,23.9
audi 5000,5,131,103,2830,15.9,1978,Europe,20.3
volvo 264gl,6,163,125,3140,13.6,1978,Europe,17
saab 99gle,4,121,115,2795,15.7,1978,Europe,21.6
peugeot 604sl,6,163,133,3410,15.8,1978,Europe,16.2
volkswagen scirocco,4,89,71,1990,14.9,1978,Europe,31.5
honda accord lx,4,98,68,2135,16.6,1978,Asia,29.5
pontiac lemans v6,6,231,115,3245,15.4,1979,North America,21.5
mercury zephyr 6,6,200,85,2990,18.2,1979,North America,19.8
ford fairmont 4,4,140,88,2890,17.3,1979,North America,22.3
amc concord dl 6,6,232,90,3265,18.2,1979,North America,20.2
dodge aspen 6,6,225,110,3360,16.6,1979,North America,20.6
chevrolet caprice classic,8,305,130,3840,15.4,1979,North America,17
ford ltd landau,8,302,129,3725,13.4,1979,North America,17.6
mercury grand marquis,8,351,138,3955,13.2,1979,North America,16.5
dodge st. regis,8,318,135,3830,15.2,1979,North America,18.2
buick estate wagon (sw),8,350,155,4360,14.9,1979,North America,16.9
ford country squire (sw),8,351,142,4054,14.3,1979,North America,15.5
chevrolet malibu classic (sw),8,267,125,3605,15,1979,North America,19.2
chrysler lebaron town @ country (sw),8,360,150,3940,13,1979,North America,18.5
vw rabbit custom,4,89,71,1925,14,1979,Europe,31.9
maxda glc deluxe,4,86,65,1975,15.2,1979,Asia,34.1
dodge colt hatchback custom,4,98,80,1915,14.4,1979,North America,35.7
amc spirit dl,4,121,80,2670,15,1979,North America,27.4
mercedes benz 300d,5,183,77,3530,20.1,1979,Europe,25.4
cadillac eldorado,8,350,125,3900,17.4,1979,North America,23
peugeot 504,4,141,71,3190,24.8,1979,Europe,27.2
oldsmobile cutlass salon brougham,8,260,90,3420,22.2,1979,North America,23.9
plymouth horizon,4,105,70,2200,13.2,1979,North America,34.2
plymouth horizon tc3,4,105,70,2150,14.9,1979,North America,34.5
datsun 210,4,85,65,2020,19.2,1979,Asia,31.8
fiat strada custom,4,91,69,2130,14.7,1979,Europe,37.3
buick skylark limited,4,151,90,2670,16,1979,North America,28.4
chevrolet citation,6,173,115,2595,11.3,1979,North America,28.8
oldsmobile omega brougham,6,173,115,2700,12.9,1979,North America,26.8
pontiac phoenix,4,151,90,2556,13.2,1979,North America,33.5
vw rabbit,4,98,76,2144,14.7,1980,Europe,41.5
toyota corolla tercel,4,89,60,1968,18.8,1980,Asia,38.1
chevrolet chevette,4,98,70,2120,15.5,1980,North America,32.1
datsun 310,4,86,65,2019,16.4,1980,Asia,37.2
chevrolet citation,4,151,90,2678,16.5,1980,North America,28
ford fairmont,4,140,88,2870,18.1,1980,North America,26.4
amc concord,4,151,90,3003,20.1,1980,North America,24.3
dodge aspen,6,225,90,3381,18.7,1980,North America,19.1
audi 4000,4,97,78,2188,15.8,1980,Europe,34.3
toyota corona liftback,4,134,90,2711,15.5,1980,Asia,29.8
mazda 626,4,120,75,2542,17.5,1980,Asia,31.3
datsun 510 hatchback,4,119,92,2434,15,1980,Asia,37
toyota corolla,4,108,75,2265,15.2,1980,Asia,32.2
mazda glc,4,86,65,2110,17.9,1980,Asia,46.6
dodge colt,4,156,105,2800,14.4,1980,North America,27.9
datsun 210,4,85,65,2110,19.2,1980,Asia,40.8
vw rabbit c (diesel),4,90,48,2085,21.7,1980,Europe,44.3
vw dasher (diesel),4,90,48,2335,23.7,1980,Europe,43.4
audi 5000s (diesel),5,121,67,2950,19.9,1980,Europe,36.4
mercedes-benz 240d,4,146,67,3250,21.8,1980,Europe,30
honda civic 1500 gl,4,91,67,1850,13.8,1980,Asia,44.6
renault lecar deluxe,4,85,,1835,17.3,1980,Europe,40.9
subaru dl,4,97,67,2145,18,1980,Asia,33.8
vokswagen rabbit,4,89,62,1845,15.3,1980,Europe,29.8
datsun 280-zx,6,168,132,2910,11.4,1980,Asia,32.7
mazda rx-7 gs,3,70,100,2420,12.5,1980,Asia,23.7
triumph tr7 coupe,4,122,88,2500,15.1,1980,Europe,35
ford mustang cobra,4,140,,2905,14.3,1980,North America,23.6
honda accord,4,107,72,2290,17,1980,Asia,32.4
plymouth reliant,4,135,84,2490,15.7,1981,North America,27.2
buick skylark,4,151,84,2635,16.4,1981,North America,26.6
dodge aries wagon (sw),4,156,92,2620,14.4,1981,North America,25.8
chevrolet citation,6,173,110,2725,12.6,1981,North America,23.5
plymouth reliant,4,135,84,2385,12.9,1981,North America,30
toyota starlet,4,79,58,1755,16.9,1981,Asia,39.1
plymouth champ,4,86,64,1875,16.4,1981,North America,39
honda civic 1300,4,81,60,1760,16.1,1981,Asia,35.1
subaru,4,97,67,2065,17.8,1981,Asia,32.3
datsun 210 mpg,4,85,65,1975,19.4,1981,Asia,37
toyota tercel,4,89,62,2050,17.3,1981,Asia,37.7
mazda glc 4,4,91,68,1985,16,1981,Asia,34.1
plymouth horizon 4,4,105,63,2215,14.9,1981,North America,34.7
ford escort 4w,4,98,65,2045,16.2,1981,North America,34.4
ford escort 2h,4,98,65,2380,20.7,1981,North America,29.9
volkswagen jetta,4,105,74,2190,14.2,1981,Europe,33
renault 18i,4,100,,2320,15.8,1981,Europe,34.5
honda prelude,4,107,75,2210,14.4,1981,Asia,33.7
toyota corolla,4,108,75,2350,16.8,1981,Asia,32.4
datsun 200sx,4,119,100,2615,14.8,1981,Asia,32.9
mazda 626,4,120,74,2635,18.3,1981,Asia,31.6
peugeot 505s turbo diesel,4,141,80,3230,20.4,1981,Europe,28.1
volvo diesel,6,145,76,3160,19.6,1981,Europe,30.7
toyota cressida,6,168,116,2900,12.6,1981,Asia,25.4
datsun 810 maxima,6,146,120,2930,13.8,1981,Asia,24.2
buick century,6,231,110,3415,15.8,1981,North America,22.4
oldsmobile cutlass ls,8,350,105,3725,19,1981,North America,26.6
ford granada gl,6,200,88,3060,17.1,1981,North America,20.2
chrysler lebaron salon,6,225,85,3465,16.6,1981,North America,17.6
chevrolet cavalier,4,112,88,2605,19.6,1982,North America,28
chevrolet cavalier wagon,4,112,88,2640,18.6,1982,North America,27
chevrolet cavalier 2-door,4,112,88,2395,18,1982,North America,34
pontiac j2000 se hatchback,4,112,85,2575,16.2,1982,North America,31
dodge aries se,4,135,84,2525,16,1982,North America,29
pontiac phoenix,4,151,90,2735,18,1982,North America,27
ford fairmont futura,4,140,92,2865,16.4,1982,North America,24
amc concord dl,4,151,,3035,20.5,1982,North America,23
volkswagen rabbit l,4,105,74,1980,15.3,1982,Europe,36
mazda glc custom l,4,91,68,2025,18.2,1982,Asia,37
mazda glc custom,4,91,68,1970,17.6,1982,Asia,31
plymouth horizon miser,4,105,63,2125,14.7,1982,North America,38
mercury lynx l,4,98,70,2125,17.3,1982,North America,36
nissan stanza xe,4,120,88,2160,14.5,1982,Asia,36
honda accord,4,107,75,2205,14.5,1982,Asia,36
toyota corolla,4,108,70,2245,16.9,1982,Asia,34
honda civic,4,91,67,1965,15,1982,Asia,38
honda civic (auto),4,91,67,1965,15.7,1982,Asia,32
datsun 310 gx,4,91,67,1995,16.2,1982,Asia,38
buick century limited,6,181,110,2945,16.4,1982,North America,25
oldsmobile cutlass ciera (diesel),6,262,85,3015,17,1982,North America,38
chrysler lebaron medallion,4,156,92,2585,14.5,1982,North America,26
ford granada l,6,232,112,2835,14.7,1982,North America,22
toyota celica gt,4,144,96,2665,13.9,1982,Asia,32
dodge charger 2.2,4,135,84,2370,13,1982,North America,36
chevrolet camaro,4,151,90,2950,17.3,1982,North America,27
ford mustang gl,4,140,86,2790,15.6,1982,North America,27
vw pickup,4,97,52,2130,24.6,1982,Europe,44
dodge rampage,4,135,84,2295,11.6,1982,North America,32
ford ranger,4,120,79,2625,18.6,1982,North America,28
chevy s-10,4,119,82,2720,19.4,1982,North America,31
